estacion_codigo,nombre,lat,lon,fuente,fuente_url,observaciones
L1-01,Mamá Tingó,18.546666666667,-69.900833333333,Wikidata,https://www.wikidata.org/wiki/Q25421651,Coincidencia: Mamá Tingó (Santo Domingo Metro)
L1-02,Gregorio Urbano Gilbert,18.539722222222,-69.904444444444,Wikidata,https://www.wikidata.org/wiki/Q25421659,Coincidencia: Gregorio Urbano Gilbert (Santo Domingo Metro)
L1-03,Gregorio Luperón,18.529444444444,-69.908333333333,Wikidata,https://www.wikidata.org/wiki/Q25421653,Coincidencia: Gregorio Luperón (Santo Domingo Metro)
L1-04,José Francisco Peña Gómez,18.525277777778,-69.916388888889,Wikidata,https://www.wikidata.org/wiki/Q25421660,Coincidencia: José Francisco Peña Gómez (Santo Domingo Metro)
L1-05,Hermanas Mirabal,18.518055555556,-69.915,Wikidata,https://www.wikidata.org/wiki/Q25421667,Coincidencia: Hermanas Mirabal (Santo Domingo Metro)
L1-06,Máximo Gómez,18.5075,-69.915833333333,Wikidata,https://www.wikidata.org/wiki/Q24717239,Coincidencia: Máximo Gómez (Santo Domingo Metro)
L1-07,Los Taínos,18.499166666667,-69.915277777778,Wikidata,https://www.wikidata.org/wiki/Q25421569,Coincidencia: Los Taínos (Santo Domingo Metro)
L1-08,Pedro Livio Cedeño,18.493333333333,-69.915,Wikidata,https://www.wikidata.org/wiki/Q25421626,Coincidencia: Pedro Livio Cedeño (Santo Domingo Metro)
L1-09,Manuel Arturo Peña Batlle,18.485555555556,-69.914444444444,Wikidata,https://www.wikidata.org/wiki/Q25421629,Coincidencia: Manuel Arturo Peña Batlle (Santo Domingo Metro)
L1-10,Juan Pablo Duarte,18.481388888889,-69.915,Wikidata,https://www.wikidata.org/wiki/Q25421710,Coincidencia: Juan Pablo Duarte (estación del Metro de Santo Domingo)
L1-11,Prof. Juan Bosch,18.476666666667,-69.913611111111,Wikidata,https://www.wikidata.org/wiki/Q25421632,Coincidencia: Juan Bosch (Santo Domingo Metro)
L1-12,Casandra Damirón,18.471111111111,-69.911666666667,Wikidata,https://www.wikidata.org/wiki/Q25421631,Coincidencia: Casandra Damirón (Santo Domingo Metro)
L1-13,Dr. Joaquín Balaguer,18.464166666667,-69.909722222222,Wikidata,https://www.wikidata.org/wiki/Q25421637,Coincidencia: Joaquín Balaguer (Santo Domingo Metro)
L1-14,Amín Abel Hasbún,18.458888888889,-69.916388888889,Wikidata,https://www.wikidata.org/wiki/Q25421640,Coincidencia: Amín Abel (Santo Domingo Metro)
L1-15,Francisco Alberto Caamaño Deñó,18.455555555556,-69.923611111111,Wikidata,https://www.wikidata.org/wiki/Q25421644,Coincidencia: Francisco Alberto Caamaño (Santo Domingo Metro)
L1-16,Centro de los Héroes,18.450833333333,-69.927222222222,Wikidata,https://www.wikidata.org/wiki/Q25421649,Coincidencia: Centro de los Héroes (estación del Metro de Santo Domingo)
